Date,Ticker,Price,Type,Score,BSU_Index,ATR,IsParanormal,Touches,IsRoundNumber,IsMirror
2025-02-25,AAPL,265.14,R,9,12,18.05843648,False,13,False,False
2025-03-03,AAPL,223.49,M,25,17,18.7929404657664,False,88,True,True
2025-03-06,AAPL,251.73,M,19,20,21.28798551847239,False,42,False,True
2025-03-13,AAPL,265.14,R,17,26,19.109448585457862,True,13,False,False
2025-03-21,AAPL,199.7,M,27,33,20.99159814060355,True,94,False,True
2025-03-21,AAPL,247.04,R,17,33,20.99159814060355,True,56,False,False
2025-03-28,AAPL,239.14,M,19,39,21.501305982970376,False,87,False,True
2025-04-05,AAPL,266.15,R,17,46,24.32786293062467,True,11,False,False
2025-04-25,AAPL,246.45,R,9,62,37.23037282820387,False,57,False,False
2025-05-05,AAPL,190.98,S,9,70,27.15989741467668,False,32,False,False
2025-05-08,AAPL,245.17,M,19,73,35.915534345393084,False,68,False,True
2025-05-28,AAPL,220.84,M,19,89,22.139469053686156,False,100,False,True
2025-05-28,AAPL,187.02,S,9,89,22.139469053686156,False,21,False,False
2025-06-06,AAPL,251.04,M,27,97,17.213496419511884,True,44,False,True
2025-06-11,AAPL,89.32,S,8,101,16.304797135609505,True,0,False,False
2025-06-13,AAPL,247.82,R,17,103,15.221837708487607,True,53,False,False
2025-06-21,AAPL,215.16,M,19,110,15.786688725396521,False,112,False,True
2025-07-02,AAPL,177.73,S,17,119,17.695754049230345,True,12,False,False
2025-07-03,AAPL,226.79,M,19,120,19.264603239384275,False,81,False,True
2025-07-14,AAPL,196.11,S,9,127,18.572427001268117,False,53,False,False
2025-07-23,AAPL,227.07,M,19,135,21.03254721524507,False,83,False,True
2025-08-14,AAPL,245.48,M,19,154,27.96205982132211,False,66,False,True
2025-08-15,AAPL,181.46,S,9,155,33.38164785705769,False,14,False,False
2025-08-27,AAPL,259.89,R,17,165,26.446663766937938,True,23,False,False
2025-08-27,AAPL,194.62,S,17,165,26.446663766937938,True,42,False,False
2025-09-10,AAPL,212.24,M,19,176,22.784082618990666,False,115,False,True
2025-09-22,AAPL,200.3,S,17,186,20.74100578512521,True,97,False,False
2025-09-23,AAPL,261.89,M,19,187,20.922804628100163,False,21,False,True
2025-10-03,AAPL,195.27,S,9,196,42.720648228114364,False,45,False,False
2025-10-04,AAPL,272.05,M,19,197,40.36251858249149,False,8,False,True
2025-10-14,AAPL,264.5,R,23,205,28.027353289110806,True,16,True,False
2025-10-14,AAPL,196.26,S,17,205,28.027353289110806,True,54,False,False
2025-10-21,AAPL,197.96,S,17,211,21.33104390721979,True,74,False,False
2025-10-28,AAPL,200.11,S,17,217,19.817068100620666,True,97,False,False
2025-11-06,AAPL,229.5,M,33,225,18.13243767521139,True,82,True,True
